model,accuracy,precision,recall,f1,roc_auc
baseline_penalty_none,0.878345498783455,0.7180851063829787,0.35340314136125656,0.47368421052631576,0.8799680437338584
ridge_l2_C_0.01,0.8759124087591241,0.7533333333333333,0.29581151832460734,0.424812030075188,0.8870426385022762
lasso_l1_C_0.1,0.8807785888077859,0.7391304347826086,0.35602094240837695,0.48056537102473496,0.8892534493674066
